,property_type,society,sector,price_in_lacs,price_per_sqft_inrs,builtup,bedRoom,bathroom,balcony,floorNum,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score,coordinates,latitude,longitude
139,flat,godrej nature plus,sector 33,135.0,8670.0,1409.0,3,2,3+,17.0,New Property,0.0,0,0,0,0,0,49.0,"28.4420° N, 77.0207° E",28.442,77.0207
140,flat,godrej nature plus,sector 33,120.0,14379.0,86.0,2,2,3,1.0,New Property,0.0,0,0,0,0,0,92.0,"28.4420° N, 77.0207° E",28.442,77.0207
141,flat,sahara grace,sector 28,430.0,12420.0,3133.0,3,4,3,5.0,Old Property,0.0,1,0,0,1,0,0.0,"28.4728° N, 77.0865° E",28.4728,77.0865
142,flat,central park flower valley aqua front towers,sector 33,296.0,13870.0,2371.0,4,4,3,1.0,New Property,0.0,1,0,0,0,0,0.0,"28.4420° N, 77.0207° E",28.442,77.0207
143,flat,godrej nature plus,sector 33,170.0,12592.0,1500.0,3,3,3+,6.0,New Property,0.0,1,0,0,0,0,24.0,"28.4420° N, 77.0207° E",28.442,77.0207
144,flat,dlf express greens,manesar,160.0,6808.0,2611.0,4,6,3+,4.0,Relatively New,2.0,1,1,1,0,0,49.0,"28.3515° N, 76.9428° E",28.3515,76.9428
145,flat,suncity vatsal valley,gwal pahari,100.0,13340.0,833.0,2,2,2,3.0,New Property,0.0,0,0,0,0,0,31.0,"28.4484° N, 77.0210° E",28.4484,77.021
146,flat,dlf beverly park,sector 25,800.0,15384.0,5777.0,5,5,3+,2.0,Old Property,0.0,1,1,1,0,1,45.0,"28.4844° N, 77.0860° E",28.4844,77.086
147,flat,surya vihar rwa,sector 21,130.0,6500.0,2400.0,5,5,2,2.0,Old Property,0.0,1,1,0,1,0,37.0,"28.5134° N, 77.0723° E",28.5134,77.0723
148,flat,dlf the grove,sector 43,600.0,25000.0,2666.0,4,4,2,1.0,Under Construction,2.0,1,0,0,0,0,26.0,"28.4629° N, 77.0772° E",28.4629,77.0772
149,flat,suncity vatsal valley,gwal pahari,153.0,10699.0,1589.0,3,3,3,2.0,New Property,1.0,0,0,0,0,0,123.0,"28.4484° N, 77.0210° E",28.4484,77.021
150,flat,"new colony, gurgaon",sector 7,80.0,8100.0,1100.0,3,2,1,4.0,Relatively New,0.0,0,0,0,0,0,0.0,"28.4644° N, 77.0143° E",28.4644,77.0143
151,flat,central park flower valley,sector 33,135.0,10384.0,1444.0,3,2,2,3.0,New Property,0.0,0,0,0,0,0,15.0,"28.4420° N, 77.0207° E",28.442,77.0207
152,flat,511 sarahah tower,sector 12,60.0,8333.0,800.0,2,2,1,0.0,New Property,0.0,0,0,1,0,0,0.0,"28.4723° N, 77.0320° E",28.4723,77.032
153,flat,shri ram apartments,sector 4,32.0,3368.0,1055.0,2,2,1,4.0,Relatively New,0.0,0,0,0,0,0,0.0,"28.4738° N, 77.0107° E",28.4738,77.0107
154,flat,bsf chs,gwal pahari,95.0,5937.0,1778.0,3,3,3,13.0,Old Property,0.0,0,0,0,0,0,60.0,"28.4484° N, 77.0210° E",28.4484,77.021
155,flat,hsiidc sidco shivalik apartments,manesar,85.0,5102.0,1508.0,3,2,2,5.0,Moderately Old,2.0,0,0,0,0,0,90.0,"28.3515° N, 76.9428° E",28.3515,76.9428
156,flat,dnha group housing society,manesar,75.0,4518.0,1502.0,3,2,2,5.0,Moderately Old,0.0,0,0,0,0,0,60.0,"28.3515° N, 76.9428° E",28.3515,76.9428
157,flat,malibu towers,sector 47,245.00000000000003,10698.0,2544.0,3,4,2,1.0,Old Property,0.0,0,1,0,0,0,33.0,"28.4276° N, 77.0492° E",28.4276,77.0492
158,flat,ansal plaza,sector 2,100.0,10000.0,1000.0,2,3,0,1.0,Moderately Old,0.0,0,0,0,0,0,42.0,"28.5095° N, 77.0320° E",28.5095,77.032
159,flat,signature global park 4,sector 36,85.0,11333.0,833.0,3,2,3,1.0,New Property,0.0,0,0,0,0,0,68.0,"28.4160° N, 76.9914° E",28.416,76.9914
160,flat,adarsh nagar,sector 12,65.0,6190.0,1166.0,3,3,1,1.0,New Property,0.0,0,0,0,0,0,49.0,"28.4723° N, 77.0320° E",28.4723,77.032
161,flat,godrej nature plus serenity,sector 33,145.0,8677.0,1512.0,3,2,3,3.0,Under Construction,0.0,0,0,0,0,0,97.0,"28.4420° N, 77.0207° E",28.442,77.0207
162,flat,godrej nature plus,sector 33,120.0,13369.0,84.0,2,2,0,11.0,Under Construction,0.0,0,0,0,0,0,28.0,"28.4420° N, 77.0207° E",28.442,77.0207
163,flat,ansal sushant residency,sector 57,150.0,6775.0,273.0,3,2,3+,1.0,Moderately Old,0.0,0,0,0,0,0,105.0,"28.4232° N, 77.0752° E",28.4232,77.0752
164,flat,paras quartier,gwal pahari,590.0,11028.0,5350.0,4,4,3+,0.0,Moderately Old,0.0,0,0,0,0,0,55.0,"28.4484° N, 77.0210° E",28.4484,77.021
165,flat,godrej nature plus,sector 33,150.0,10200.0,1539.0,2,2,3+,2.0,Under Construction,0.0,0,0,0,0,0,29.0,"28.4420° N, 77.0207° E",28.442,77.0207
166,flat,valley view estate,gwal pahari,150.0,8278.0,2013.0,4,4,3+,9.0,Old Property,2.0,1,1,0,0,1,79.0,"28.4484° N, 77.0210° E",28.4484,77.021
167,flat,godrej nature plus serenity,sector 33,139.0,11583.0,1333.0,3,2,3+,23.0,Under Construction,2.0,0,0,0,0,0,57.0,"28.4420° N, 77.0207° E",28.442,77.0207
168,flat,essel towers,sector 14,275.0,12500.0,2200.0,4,5,3+,8.0,Old Property,0.0,1,1,0,0,0,38.0,"28.4711° N, 77.0454° E",28.4711,77.0454
169,flat,shreeram apartment ii,sector 4,21.0,4666.0,500.0,1,1,1,2.0,Relatively New,0.0,0,0,0,0,0,45.0,"28.4738° N, 77.0107° E",28.4738,77.0107
170,flat,eden landmark,manesar,50.0,3847.0,1300.0,2,2,0,7.0,Under Construction,0.0,0,0,0,0,0,49.0,"28.3515° N, 76.9428° E",28.3515,76.9428
171,flat,signature global park 4,sector 36,82.0,7585.0,1201.0,3,2,3,2.0,New Property,0.0,0,0,0,0,0,66.0,"28.4160° N, 76.9914° E",28.416,76.9914
172,flat,signature global park 4,sector 36,72.0,6660.0,978.0,3,2,3,3.0,Under Construction,1.0,0,0,0,0,0,69.0,"28.4160° N, 76.9914° E",28.416,76.9914
173,flat,godrej nature plus,sector 33,135.0,8231.0,1484.0,3,2,3+,7.0,Under Construction,0.0,0,0,1,0,0,0.0,"28.4420° N, 77.0207° E",28.442,77.0207
174,flat,sahara grace,sector 28,550.0,14612.0,3407.0,4,5,3+,5.0,Moderately Old,0.0,1,0,0,0,1,52.0,"28.4728° N, 77.0865° E",28.4728,77.0865
175,flat,godrej nature plus,sector 33,125.0,9025.0,1385.0,2,2,3,17.0,Under Construction,0.0,0,0,0,0,0,74.0,"28.4420° N, 77.0207° E",28.442,77.0207
176,flat,godrej nature plus,sector 33,110.0,7971.0,1533.0,2,2,2,14.0,Under Construction,0.0,0,0,0,0,0,63.0,"28.4420° N, 77.0207° E",28.442,77.0207
177,flat,ss residency,sector 6,48.0,5333.0,111.0,3,2,2,2.0,Moderately Old,0.0,0,0,0,0,0,0.0,"28.4745° N, 77.0262° E",28.4745,77.0262
178,flat,godrej nature plus,sector 33,115.0,11558.0,102.0,2,2,2,15.0,Under Construction,2.0,0,0,0,0,0,44.0,"28.4420° N, 77.0207° E",28.442,77.0207
179,flat,godrej nature plus,sector 33,125.0,9025.0,1539.0,2,2,3+,15.0,Under Construction,0.0,0,0,0,0,0,88.0,"28.4420° N, 77.0207° E",28.442,77.0207
180,flat,eldeco accolade,sector 33,120.0,8043.0,1492.0,2,2,2,0.0,Under Construction,0.0,0,0,0,0,0,0.0,"28.4420° N, 77.0207° E",28.442,77.0207
181,flat,the pearl apartmen,sector 15,43.0,5584.0,855.0,2,2,1,2.0,Relatively New,0.0,0,0,0,0,0,53.0,"28.4621° N, 77.0464° E",28.4621,77.0464
182,flat,dlf royalton tower,sector 43,650.0,20687.0,2713.0,4,4,3+,9.0,Moderately Old,2.0,1,0,0,0,0,7.0,"28.4629° N, 77.0772° E",28.4629,77.0772
183,flat,suncity vatsal valley,gwal pahari,138.0,12212.0,1130.0,2,2,2,4.0,Under Construction,0.0,0,0,0,0,0,23.0,"28.4484° N, 77.0210° E",28.4484,77.021
184,flat,unitech heritage city,sector 14,426.0,13108.0,3250.0,4,4,0,9.0,Relatively New,0.0,0,0,0,0,0,37.0,"28.4711° N, 77.0454° E",28.4711,77.0454
185,flat,zara aavaas,sector 104,20.0,6644.0,334.0,1,2,2,3.0,New Property,1.0,0,0,0,0,0,49.0,"28.4788° N, 76.9960° E",28.4788,76.996
186,flat,essel tower,sector 28,220.00000000000003,12500.0,1955.0,3,4,3+,3.0,Moderately Old,0.0,1,0,0,0,0,30.0,"28.4728° N, 77.0865° E",28.4728,77.0865
187,flat,central park flower valley,sector 33,250.0,13270.0,2093.0,3,3,2,1.0,Under Construction,0.0,0,0,0,0,0,0.0,"28.4420° N, 77.0207° E",28.442,77.0207
188,flat,silverglades hightown residences,sector 43,420.0,19767.0,2124.75,3,4,2,7.0,Under Construction,0.0,0,0,0,0,0,128.0,"28.4629° N, 77.0772° E",28.4629,77.0772
189,flat,sbr apartment,manesar,68.0,4456.0,1526.0,3,3,3,2.0,Moderately Old,0.0,0,0,0,0,0,0.0,"28.3515° N, 76.9428° E",28.3515,76.9428
190,flat,dlf regency park,sector 28,191.0,16608.0,1278.0,2,2,2,11.0,New Property,0.0,0,0,0,0,0,0.0,"28.4728° N, 77.0865° E",28.4728,77.0865
191,flat,central park flower valley,sector 33,140.0,21538.0,588.0,3,3,3,2.0,Under Construction,0.0,0,0,0,0,0,37.0,"28.4420° N, 77.0207° E",28.442,77.0207
192,flat,lord krishna,sector 12,270.0,8571.0,3150.0,4,3,3,6.0,New Property,0.0,0,0,0,0,0,0.0,"28.4723° N, 77.0320° E",28.4723,77.032
193,flat,signature global park 4,sector 36,100.0,9900.0,1122.0,3,2,3,2.0,New Property,0.0,0,0,0,0,0,35.0,"28.4160° N, 76.9914° E",28.416,76.9914
194,flat,central park flower valley cerise floors,sector 33,130.0,10743.0,1095.0,2,2,2,3.0,New Property,0.0,0,1,0,0,0,113.0,"28.4420° N, 77.0207° E",28.442,77.0207
195,flat,essel towers,sector 14,220.00000000000003,12500.0,1955.0,3,4,3+,3.0,Relatively New,0.0,0,0,0,0,0,36.0,"28.4711° N, 77.0454° E",28.4711,77.0454
196,flat,essel towers,sector 14,220.00000000000003,12500.0,1955.0,3,4,3+,3.0,Relatively New,1.0,0,0,0,0,0,0.0,"28.4711° N, 77.0454° E",28.4711,77.0454
197,flat,eldeco accolade,sector 33,120.0,8043.0,1492.0,2,2,2,0.0,Under Construction,0.0,0,0,0,0,0,123.0,"28.4420° N, 77.0207° E",28.442,77.0207
198,flat,dlf royalton tower,sector 43,620.0,20687.0,2713.0,4,4,3+,9.0,Moderately Old,1.0,1,0,0,0,0,98.0,"28.4629° N, 77.0772° E",28.4629,77.0772
199,flat,unitech heritage city,sector 14,426.0,13108.0,3250.0,4,4,0,9.0,Relatively New,0.0,0,0,0,0,0,38.0,"28.4711° N, 77.0454° E",28.4711,77.0454
200,flat,zara aavaas,sector 104,20.0,6644.0,334.0,1,2,2,3.0,New Property,0.0,0,0,0,0,0,95.0,"28.4788° N, 76.9960° E",28.4788,76.996
201,flat,essel tower,sector 28,220.00000000000003,12500.0,1955.0,3,4,3+,3.0,Moderately Old,0.0,1,0,0,0,0,122.0,"28.4728° N, 77.0865° E",28.4728,77.0865
202,flat,central park flower valley,sector 33,250.0,13270.0,2093.0,3,3,2,1.0,Under Construction,0.0,0,0,0,0,0,71.0,"28.4420° N, 77.0207° E",28.442,77.0207
203,flat,silverglades hightown residences,sector 43,420.0,19767.0,2124.75,3,4,2,7.0,Under Construction,0.0,0,0,0,0,0,37.0,"28.4629° N, 77.0772° E",28.4629,77.0772
204,flat,dlf regency park,sector 28,191.0,16608.0,1278.0,2,2,2,11.0,New Property,0.0,0,0,0,0,0,52.0,"28.4728° N, 77.0865° E",28.4728,77.0865
205,flat,central park flower valley,sector 33,140.0,21538.0,588.0,3,3,3,2.0,Under Construction,0.0,0,0,0,0,0,54.0,"28.4420° N, 77.0207° E",28.442,77.0207
206,flat,essel towers,sector 14,220.00000000000003,12500.0,1955.0,3,4,3+,3.0,Relatively New,0.0,0,0,0,0,0,51.0,"28.4711° N, 77.0454° E",28.4711,77.0454
207,flat,essel towers,sector 14,220.00000000000003,12500.0,1955.0,3,4,3+,3.0,Relatively New,0.0,0,0,0,0,0,28.0,"28.4711° N, 77.0454° E",28.4711,77.0454
208,flat,dlf royalton tower,sector 43,650.0,22108.0,2661.0,4,5,2,8.0,Relatively New,0.0,1,0,0,0,0,0.0,"28.4629° N, 77.0772° E",28.4629,77.0772
209,flat,valley view estate,gwal pahari,150.0,7489.0,1850.0,4,4,3+,10.0,Moderately Old,0.0,0,0,0,0,0,0.0,"28.4484° N, 77.0210° E",28.4484,77.021
210,flat,godrej nature plus,sector 33,120.0,12000.0,1111.0,2,2,3+,3.0,Under Construction,0.0,0,0,0,0,0,23.0,"28.4420° N, 77.0207° E",28.442,77.0207
211,flat,shri ram apartments,sector 4,46.0,5111.0,1000.0,2,2,1,1.0,Relatively New,2.0,0,0,0,0,0,93.0,"28.4738° N, 77.0107° E",28.4738,77.0107
212,flat,godrej nature plus,sector 33,108.0,13126.0,84.0,2,2,3,8.0,Under Construction,0.0,0,0,0,0,0,0.0,"28.4420° N, 77.0207° E",28.442,77.0207
213,flat,deepak minda,manesar,125.0,4716.0,2944.0,3,3,3+,6.0,Moderately Old,0.0,1,0,0,0,0,71.0,"28.3515° N, 76.9428° E",28.3515,76.9428
214,flat,central park flower valley aqua front towers,sector 33,200.0,11179.0,1619.0,3,3,3+,8.0,New Property,0.0,0,0,0,0,0,45.0,"28.4420° N, 77.0207° E",28.442,77.0207
215,flat,shyam apartment,sector 3,26.0,3714.0,611.0,2,1,2,2.0,Relatively New,0.0,0,0,0,0,0,44.0,"28.4909° N, 77.0176° E",28.4909,77.0176
216,flat,maruti kunj,sector 11,80.0,5161.0,1403.0,3,2,0,0.0,Old Property,2.0,0,0,0,0,0,44.0,"28.4531° N, 77.0202° E",28.4531,77.0202
217,flat,palam vihar extension west zone rwa,sector 2,20.0,4000.0,555.0,1,1,1,1.0,Moderately Old,0.0,0,0,0,0,1,44.0,"28.5095° N, 77.0320° E",28.5095,77.032
218,flat,bestech park view residency,sector 2,55.0,8461.0,588.0,1,1,2,7.0,Moderately Old,0.0,0,0,0,0,0,66.0,"28.5095° N, 77.0320° E",28.5095,77.032
219,flat,bajrang apartments,sector 6,38.0,4470.0,944.0,2,2,2,1.0,Moderately Old,0.0,0,0,0,0,0,100.0,"28.4745° N, 77.0262° E",28.4745,77.0262
220,flat,signature global park 4,sector 36,72.0,6428.0,1244.0,3,2,3,2.0,Under Construction,0.0,0,0,0,0,0,39.0,"28.4160° N, 76.9914° E",28.416,76.9914
221,flat,ss radiance residency,sector 12,60.0,5660.0,1178.0,3,3,2,3.0,Relatively New,0.0,0,0,0,0,0,88.0,"28.4723° N, 77.0320° E",28.4723,77.032
222,flat,rk tower,sector 2,95.0,9595.0,1100.0,2,2,1,1.0,Relatively New,0.0,0,0,0,0,0,8.0,"28.5095° N, 77.0320° E",28.5095,77.032
223,flat,unitech the palms,sector 41,275.0,16768.0,1640.03,3,3,2,14.0,Old Property,2.0,0,0,0,0,0,42.0,"28.4557° N, 77.0632° E",28.4557,77.0632
224,flat,nul,gwal pahari,56.0,6054.0,1028.0,2,2,1,11.0,Old Property,0.0,0,0,0,0,0,60.0,"28.4484° N, 77.0210° E",28.4484,77.021
225,flat,godrej nature plus,sector 33,162.0,13974.0,119.0,3,4,3+,3.0,New Property,0.0,1,0,0,0,0,31.0,"28.4420° N, 77.0207° E",28.442,77.0207
226,flat,shri ram apartments,sector 4,36.0,3789.0,1055.0,2,2,1,4.0,Relatively New,0.0,0,0,0,0,0,30.0,"28.4738° N, 77.0107° E",28.4738,77.0107
227,flat,divya apartments,sector 6,60.0,7594.0,790.0,2,2,0,2.0,Relatively New,0.0,0,0,0,0,0,67.0,"28.4745° N, 77.0262° E",28.4745,77.0262
228,flat,valley view estate,gwal pahari,38.0,6089.0,565.0,1,1,1,11.0,Moderately Old,0.0,0,0,0,0,0,49.0,"28.4484° N, 77.0210° E",28.4484,77.021
229,flat,ansal harmony homes,sector 57,112.0,10666.0,950.0,2,2,1,0.0,Old Property,0.0,0,0,0,0,0,60.0,"28.4232° N, 77.0752° E",28.4232,77.0752
230,flat,apna enclave,sector 3,80.0,6153.0,1000.0,3,3,1,0.0,Old Property,0.0,0,0,0,0,0,36.0,"28.4909° N, 77.0176° E",28.4909,77.0176
231,flat,godrej nature plus,sector 33,150.0,9677.0,1403.0,3,3,3,6.0,Under Construction,0.0,0,1,0,0,0,58.0,"28.4420° N, 77.0207° E",28.442,77.0207
232,flat,dlf express greens,manesar,120.0,6505.0,1670.0,3,4,2,5.0,Relatively New,0.0,1,0,0,0,1,67.0,"28.3515° N, 76.9428° E",28.3515,76.9428
233,flat,aditya apartment,manesar,100.0,4033.0,2480.0,3,4,0,3.0,New Property,0.0,0,0,0,0,0,105.0,"28.3515° N, 76.9428° E",28.3515,76.9428
234,flat,shri balaji apartment,sector 12,35.0,4037.0,737.0,2,2,1,1.0,Moderately Old,2.0,0,0,0,0,0,49.0,"28.4723° N, 77.0320° E",28.4723,77.032
235,flat,dlf express greens,manesar,150.0,6358.0,2135.0,4,5,3+,10.0,New Property,1.0,1,0,0,0,0,20.0,"28.3515° N, 76.9428° E",28.3515,76.9428
236,flat,ansals duplex flat,sector 2,95.0,7307.0,1444.0,2,3,2,1.0,Old Property,2.0,0,1,0,0,0,31.0,"28.5095° N, 77.0320° E",28.5095,77.032
237,flat,chanderlok society,sector 28,90.0,7234.0,1382.0,4,2,3+,1.0,Old Property,0.0,0,0,0,0,0,56.0,"28.4728° N, 77.0865° E",28.4728,77.0865
238,flat,ss residency,sector 12,53.0,4818.0,996.0,3,3,2,2.0,Relatively New,0.0,0,0,0,0,0,41.0,"28.4723° N, 77.0320° E",28.4723,77.032
239,flat,uphar lakshya homes,sector 105,42.0,4200.0,1111.0,3,2,1,1.0,Relatively New,2.0,0,0,0,0,0,21.0,"28.4952° N, 77.0114° E",28.4952,77.0114
240,flat,palam vihar society,sector 2,40.0,8602.0,450.0,1,1,1,5.0,Moderately Old,2.0,0,0,0,0,0,115.0,"28.5095° N, 77.0320° E",28.5095,77.032
241,flat,krishna appartment,sector 12,35.0,3500.0,905.0,3,3,1,2.0,Old Property,2.0,0,0,0,0,0,27.0,"28.4723° N, 77.0320° E",28.4723,77.032
242,flat,dlf regency park,sector 28,135.0,11992.0,1109.0,2,2,2,1.0,Moderately Old,2.0,0,0,0,0,0,142.0,"28.4728° N, 77.0865° E",28.4728,77.0865
243,flat,ambience lagoon,sector 24,580.0,12500.0,3700.0,3,4,3+,9.0,Old Property,2.0,1,1,1,0,1,54.0,"28.4939° N, 77.1038° E",28.4939,77.1038
244,house,independent,sector 25,1085.0,38150.0,2840.64,6,6,1,3.0,Relatively New,2.0,0,0,0,1,0,135.0,"28.4844° N, 77.0860° E",28.4844,77.086
245,house,sushant lok 1 builder floors,sector 43,195.0,10077.0,215.0,3,4,3+,4.0,New Property,0.0,1,0,0,0,0,19.0,"28.4629° N, 77.0772° E",28.4629,77.0772
246,house,independent,sector 25,445.0,32963.0,1345.0,4,3,3+,2.0,Moderately Old,0.0,0,0,0,1,0,146.0,"28.4844° N, 77.0860° E",28.4844,77.086
247,house,independent,sector 28,900.0,27778.0,3238.76,6,7,3+,3.0,Moderately Old,0.0,1,1,1,1,0,160.0,"28.4728° N, 77.0865° E",28.4728,77.0865
248,house,independent,sector 26,1500.0,33200.0,4519.2,5,6,3+,3.0,Moderately Old,2.0,1,1,1,1,0,49.0,"28.4757° N, 77.1032° E",28.4757,77.1032
249,house,independent,sector 43,825.0,30556.0,2700.76,5,6,3+,3.0,Moderately Old,2.0,1,1,1,1,0,110.0,"28.4629° N, 77.0772° E",28.4629,77.0772
250,house,dlf city plots phase 2,sector 25,1075.0,29861.0,3593.84,9,9,3+,3.0,Old Property,2.0,1,0,1,1,0,52.0,"28.4844° N, 77.0860° E",28.4844,77.086
251,house,unitech espace,sector 50,735.0,41762.0,2162.76,4,4,3+,3.0,Moderately Old,0.0,1,0,1,0,0,22.0,"28.4178° N, 77.0628° E",28.4178,77.0628
252,house,independent,sector 49,445.0,15451.0,2883.68,6,6,3,3.0,Moderately Old,0.0,1,1,1,1,0,22.0,"28.4121° N, 77.0480° E",28.4121,77.048
253,house,independent,sector 25,760.0,38760.0,1936.8,2,9,3,4.0,Relatively New,0.0,0,1,1,1,0,63.0,"28.4844° N, 77.0860° E",28.4844,77.086
254,house,ansal sushant lok plots,sector 43,700.0,25926.0,2700.76,5,5,3+,3.0,Relatively New,0.0,1,1,1,0,0,49.0,"28.4629° N, 77.0772° E",28.4629,77.0772
255,house,independent,sector 50,1056.0,32593.0,3238.76,5,5,3,3.0,Moderately Old,0.0,1,0,0,0,0,47.0,"28.4178° N, 77.0628° E",28.4178,77.0628
256,house,independent,sector 25,1000.0,37037.0,2700.76,5,6,3,3.0,Old Property,2.0,1,0,0,1,0,85.0,"28.4844° N, 77.0860° E",28.4844,77.086
257,house,independent,sector 57,330.0,19097.0,1732.36,4,4,2,3.0,Moderately Old,2.0,0,0,0,1,0,122.0,"28.4232° N, 77.0752° E",28.4232,77.0752
258,house,independent,sector 25,900.0,33333.0,2700.76,5,5,3,3.0,Old Property,0.0,1,1,1,1,0,0.0,"28.4844° N, 77.0860° E",28.4844,77.086
259,house,independent,sector 26,580.0,32222.0,1796.92,5,5,3+,2.0,Old Property,0.0,1,1,1,1,0,7.0,"28.4757° N, 77.1032° E",28.4757,77.1032
260,house,nul,sector 25,625.0,34722.0,1796.92,5,5,3,2.0,Moderately Old,2.0,1,0,1,0,0,61.0,"28.4844° N, 77.0860° E",28.4844,77.086
261,house,independent,sector 43,575.0,29716.0,1936.8,4,4,2,2.0,Old Property,2.0,1,0,1,1,0,20.0,"28.4629° N, 77.0772° E",28.4629,77.0772
262,house,independent,sector 2,255.0,16378.0,1560.2,3,3,2,2.0,Old Property,2.0,0,0,0,0,0,75.0,"28.5095° N, 77.0320° E",28.5095,77.032
263,house,independent,sector 2,560.0,17284.0,3238.76,8,6,3+,2.0,Moderately Old,1.0,1,1,1,1,0,20.0,"28.5095° N, 77.0320° E",28.5095,77.032
264,house,independent,sector 45,1700.0,37777.0,4500.0,5,8,3+,3.0,Relatively New,0.0,1,1,1,1,0,12.0,"28.4466° N, 77.0660° E",28.4466,77.066
265,house,uppal southend,sector 49,375.0,25562.0,1463.36,2,6,3,3.0,Moderately Old,0.0,0,0,0,0,1,160.0,"28.4121° N, 77.0480° E",28.4121,77.048
266,house,independent,sector 43,650.0,35400.0,1936.8,5,4,3+,3.0,Moderately Old,0.0,1,0,1,0,0,9.0,"28.4629° N, 77.0772° E",28.4629,77.0772
267,house,independent,sector 50,1045.0,38703.0,4000.0,4,5,2,3.0,Moderately Old,2.0,1,1,1,0,0,0.0,"28.4178° N, 77.0628° E",28.4178,77.0628
268,house,independent,sector 4,67.0,8557.0,87.0,3,2,1,1.0,Moderately Old,0.0,0,0,1,0,1,0.0,"28.4738° N, 77.0107° E",28.4738,77.0107
269,house,independent,sector 7,155.0,13889.0,120.0,2,2,2,1.0,Moderately Old,0.0,0,0,0,0,0,12.0,"28.4644° N, 77.0143° E",28.4644,77.0143
270,house,independent,sector 50,700.0,23333.0,3400.0,4,4,2,3.0,Old Property,0.0,1,0,0,0,0,0.0,"28.4178° N, 77.0628° E",28.4178,77.0628
271,house,independent,sector 25,660.0,36667.0,1796.92,6,7,3+,2.0,Moderately Old,0.0,1,1,0,0,0,0.0,"28.4844° N, 77.0860° E",28.4844,77.086
272,house,independent,sector 105,65.0,9028.0,80.0,3,2,1,1.0,Relatively New,0.0,0,0,1,0,1,0.0,"28.4952° N, 77.0114° E",28.4952,77.0114
273,house,independent,sector 4,55.0,4074.0,1350.0,3,3,2,2.0,Relatively New,0.0,0,0,0,0,1,0.0,"28.4738° N, 77.0107° E",28.4738,77.0107
274,house,ansal sushant lok plots,sector 43,580.0,29974.0,1936.8,6,6,3,2.0,Relatively New,0.0,1,0,0,0,1,0.0,"28.4629° N, 77.0772° E",28.4629,77.0772
275,house,independent,sector 43,250.0,25960.0,107.0,2,7,3,4.0,Relatively New,0.0,0,0,0,0,1,0.0,"28.4629° N, 77.0772° E",28.4629,77.0772
276,house,independent,sector 43,550.0,28424.0,1936.8,1,1,0,1.0,Old Property,0.0,0,0,0,0,1,0.0,"28.4629° N, 77.0772° E",28.4629,77.0772
277,house,unitech deerwood chase,sector 50,1500.0,33333.0,4497.68,4,4,2,2.0,Moderately Old,0.0,1,0,0,0,0,0.0,"28.4178° N, 77.0628° E",28.4178,77.0628
278,house,unitech aspen greens,sector 50,695.0,4490.0,2160.0,3,3,1,2.0,Moderately Old,0.0,1,0,0,0,0,0.0,"28.4178° N, 77.0628° E",28.4178,77.0628
279,house,ansals palam vihar,sector 2,570.0,14729.0,4550.0,5,5,2,2.0,Old Property,0.0,0,0,1,0,0,0.0,"28.5095° N, 77.0320° E",28.5095,77.032
280,house,independent,sector 7,66.0,12000.0,550.0,3,1,1,3.0,Relatively New,0.0,0,0,0,0,1,0.0,"28.4644° N, 77.0143° E",28.4644,77.0143
